Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Firefox 57.0,,2018-12-19 12:40:23,2018-12-19 12:49:15,8m - 52.082s,FAILED
,,,,,,
Test Cases/logIn,Firefox 57.0,,2018-12-19 12:40:24,2018-12-19 12:43:43,3m - 19.583s,PASSED
openBrowser,Firefox 57.0,,2018-12-19 12:40:24,2018-12-19 12:40:33,8.781s,PASSED
navigateToUrl,Firefox 57.0,,2018-12-19 12:40:33,2018-12-19 12:40:39,6.002s,PASSED
setText,Firefox 57.0,,2018-12-19 12:40:39,2018-12-19 12:40:39,0.116s,PASSED
setEncryptedText,Firefox 57.0,,2018-12-19 12:40:39,2018-12-19 12:40:40,0.848s,PASSED
click,Firefox 57.0,,2018-12-19 12:40:40,2018-12-19 12:43:43,3m - 3.507s,PASSED
,,,,,,
Test Cases/ItemRegURL,Firefox 57.0,,2018-12-19 12:43:43,2018-12-19 12:48:44,5m - 0.367s,FAILED
navigateToUrl,Firefox 57.0,,2018-12-19 12:43:43,2018-12-19 12:48:44,5m - 0.169s,FAILED
,,,,,,
Test Cases/itemReg,Firefox 57.0,,2018-12-19 12:48:44,2018-12-19 12:49:14,30.588s,FAILED
Statement - item = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Firefox 57.0,,2018-12-19 12:48:44,2018-12-19 12:48:44,0.000s,PASSED
click,Firefox 57.0,,2018-12-19 12:48:44,2018-12-19 12:49:14,30.417s,FAILED
