Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Chrome 71.0.3578.98,,2018-12-19 14:44:11,2018-12-19 14:50:45,6m - 33.811s,FAILED
,,,,,,
Test Cases/logIn,Chrome 71.0.3578.98,,2018-12-19 14:44:11,2018-12-19 14:49:03,4m - 51.550s,PASSED
openBrowser,Chrome 71.0.3578.98,,2018-12-19 14:44:11,2018-12-19 14:44:15,3.900s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2018-12-19 14:44:15,2018-12-19 14:44:19,3.615s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 14:44:19,2018-12-19 14:44:19,0.166s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2018-12-19 14:44:19,2018-12-19 14:44:19,0.168s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 14:44:19,2018-12-19 14:48:23,4m - 3.668s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2018-12-19 14:48:23,2018-12-19 14:49:03,39.685s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 71.0.3578.98,,2018-12-19 14:49:03,2018-12-19 14:49:38,35.797s,FAILED
click,Chrome 71.0.3578.98,,2018-12-19 14:49:03,2018-12-19 14:49:03,0.605s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 14:49:03,2018-12-19 14:49:05,1.834s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:49:05,2018-12-19 14:49:05,0.268s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:49:05,2018-12-19 14:49:06,0.215s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:49:06,2018-12-19 14:49:06,0.156s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 14:49:06,2018-12-19 14:49:06,0.168s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 14:49:06,2018-12-19 14:49:06,0.123s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 14:49:06,2018-12-19 14:49:38,32.220s,FAILED
,,,,,,
Test Cases/itemReg,Chrome 71.0.3578.98,,2018-12-19 14:49:38,2018-12-19 14:50:11,32.820s,FAILED
click,Chrome 71.0.3578.98,,2018-12-19 14:49:38,2018-12-19 14:49:39,0.073s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 14:49:39,2018-12-19 14:49:39,0.362s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:49:39,2018-12-19 14:49:39,0.104s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:49:39,2018-12-19 14:49:39,0.114s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:49:39,2018-12-19 14:49:39,0.074s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 14:49:39,2018-12-19 14:49:39,0.088s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 14:49:39,2018-12-19 14:49:40,0.262s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 14:49:40,2018-12-19 14:50:11,31.689s,FAILED
,,,,,,
Test Cases/itemReg,Chrome 71.0.3578.98,,2018-12-19 14:50:11,2018-12-19 14:50:44,32.483s,FAILED
click,Chrome 71.0.3578.98,,2018-12-19 14:50:11,2018-12-19 14:50:11,0.077s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 14:50:11,2018-12-19 14:50:11,0.157s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:50:11,2018-12-19 14:50:12,0.173s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:50:12,2018-12-19 14:50:12,0.178s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 14:50:12,2018-12-19 14:50:12,0.141s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 14:50:12,2018-12-19 14:50:12,0.117s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 14:50:12,2018-12-19 14:50:12,0.065s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 14:50:12,2018-12-19 14:50:44,31.566s,FAILED
